metric,value,simulation_year,scenario_label
total_pop,80502.0,2012,Historical
share_over_67,0.18715325936199723,2013,Historical
share_20_66,0.631018426788191,2013,Historical
share_under_20,0.18182831384981177,2013,Historical
total_over_67,15113.0,2013,Historical
total_20_66,50956.0,2013,Historical
total_under_20,14683.0,2013,Historical
youth_quota,0.28815056126854544,2013,Historical
old_quota,0.29658921422403645,2013,Historical
total_pop,80752.0,2013,Historical
share_over_67,0.18752155703375215,2014,Historical
share_20_66,0.6307218526730722,2014,Historical
share_under_20,0.18175659029317565,2014,Historical
total_over_67,15223.0,2014,Historical
total_20_66,51202.0,2014,Historical
total_under_20,14755.0,2014,Historical
youth_quota,0.2881723370180852,2014,Historical
old_quota,0.2973126049763681,2014,Historical
total_pop,81180.0,2014,Historical
share_over_67,0.1866426476137152,2015,Historical
share_20_66,0.6299158927419453,2015,Historical
share_under_20,0.1834414596443395,2015,Historical
total_over_67,15334.0,2015,Historical
total_20_66,51752.0,2015,Historical
total_under_20,15071.0,2015,Historical
youth_quota,0.29121579842324935,2015,Historical
old_quota,0.2962977276240532,2015,Historical
total_pop,82157.0,2015,Historical
share_over_67,0.18820377934812912,2016,Historical
share_20_66,0.6273136083198991,2016,Historical
share_under_20,0.18448261233197175,2016,Historical
total_over_67,15527.0,2016,Historical
total_20_66,51754.0,2016,Historical
total_under_20,15220.0,2016,Historical
youth_quota,0.29408354909765433,2016,Historical
old_quota,0.30001545774239674,2016,Historical
total_pop,82501.0,2016,Historical
share_over_67,0.1899199052877007,2017,Historical
share_20_66,0.6258018531717747,2017,Historical
share_under_20,0.18427824154052455,2017,Historical
total_over_67,15721.0,2017,Historical
total_20_66,51802.0,2017,Historical
total_under_20,15254.0,2017,Historical
youth_quota,0.294467395081271,2017,Historical
old_quota,0.30348249102351266,2017,Historical
total_pop,82777.0,2017,Historical
share_over_67,0.19141194472222556,2018,Historical
share_20_66,0.6242966782732322,2018,Historical
share_under_20,0.18429137700454223,2018,Historical
total_over_67,15887.0,2018,Historical
total_20_66,51816.0,2018,Historical
total_under_20,15296.0,2018,Historical
youth_quota,0.29519839431835726,2018,Historical
old_quota,0.3066041377180793,2018,Historical
total_pop,82999.0,2018,Historical
share_over_67,0.1932333449598884,2019,Historical
share_20_66,0.6223735010764586,2019,Historical
share_under_20,0.184393153963653,2019,Historical
total_over_67,16066.0,2019,Historical
total_20_66,51746.0,2019,Historical
total_under_20,15331.0,2019,Historical
youth_quota,0.29627410814362465,2019,Historical
old_quota,0.31047810458779423,2019,Historical
total_pop,83143.0,2019,Historical
share_over_67,0.19496968822170901,2020,Historical
share_20_66,0.6205614896073903,2020,Historical
share_under_20,0.1844688221709007,2020,Historical
total_over_67,16209.0,2020,Historical
total_20_66,51591.0,2020,Historical
total_under_20,15336.0,2020,Historical
youth_quota,0.2972611502006164,2020,Historical
old_quota,0.3141827062859801,2020,Historical
total_pop,83136.0,2020,Historical
share_over_67,0.19626527595861523,2021,Historical
share_20_66,0.6182482365805886,2021,Historical
share_under_20,0.1854864874607962,2021,Historical
total_over_67,16333.0,2021,Historical
total_20_66,51450.0,2021,Historical
total_under_20,15436.0,2021,Historical
youth_quota,0.30001943634596695,2021,Historical
old_quota,0.3174538386783285,2021,Historical
total_pop,83219.0,2021,Historical
share_over_67,0.19634991309316888,2022,G1L1W1
share_20_66,0.6160027619705231,2022,G1L1W1
share_under_20,0.187647324936308,2022,G1L1W1
total_over_67,16493.0,2022,G1L1W1
total_20_66,51743.0,2022,G1L1W1
total_under_20,15762.0,2022,G1L1W1
youth_quota,0.30462091490636417,2022,G1L1W1
old_quota,0.3187484297392884,2022,G1L1W1
total_pop,83998.0,2022,G1L1W1
share_over_67,0.19578592298738628,2022,G1L1W2
share_20_66,0.6161484191272537,2022,G1L1W2
share_under_20,0.18806565788536,2022,G1L1W2
total_over_67,16484.0,2022,G1L1W2
total_20_66,51876.0,2022,G1L1W2
total_under_20,15834.0,2022,G1L1W2
youth_quota,0.3052278510293778,2022,G1L1W2
old_quota,0.31775772997147045,2022,G1L1W2
total_pop,84194.0,2022,G1L1W2
share_over_67,0.19525863090301637,2022,G1L1W3
share_20_66,0.6162595076179419,2022,G1L1W3
share_under_20,0.18848186147904178,2022,G1L1W3
total_over_67,16481.0,2022,G1L1W3
total_20_66,52016.0,2022,G1L1W3
total_under_20,15909.0,2022,G1L1W3
youth_quota,0.3058482005536758,2022,G1L1W3
old_quota,0.31684481697939093,2022,G1L1W3
total_pop,84406.0,2022,G1L1W3
share_over_67,0.19649339983097855,2022,G1L2W1
share_20_66,0.6158927784985657,2022,G1L2W1
share_under_20,0.18761382167045576,2022,G1L2W1
total_over_67,16508.0,2022,G1L2W1
total_20_66,51743.0,2022,G1L2W1
total_under_20,15762.0,2022,G1L2W1
youth_quota,0.3046209149063641,2022,G1L2W1
old_quota,0.3190383240245057,2022,G1L2W1
total_pop,84013.0,2022,G1L2W1
share_over_67,0.19588167535536583,2022,G1L2W2
share_20_66,0.616086166561769,2022,G1L2W2
share_under_20,0.18803215808286525,2022,G1L2W2
total_over_67,16495.0,2022,G1L2W2
total_20_66,51880.0,2022,G1L2W2
total_under_20,15834.0,2022,G1L2W2
youth_quota,0.3052043176561295,2022,G1L2W2
