scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2030,youth_quota,mean,0.32481096517845015,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.32481096517845015
G1L1W1,2031,old_quota,mean,0.37805846602264936,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.37805846602264936
G1L1W1,2031,share_20_66,mean,0.5773541100376886,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5773541100376886
G1L1W1,2031,share_over_67,mean,0.2182711382128081,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2182711382128081
G1L1W1,2031,share_under_20,mean,0.18901140246327666,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18901140246327666
G1L1W1,2031,total_20_66,mean,22698.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",47234.22293333334
G1L1W1,2031,total_over_67,mean,8581.333333333334,3,"[np.int64(1), np.int64(2), np.int64(3)]",17857.11106666667
G1L1W1,2031,total_pop,mean,39315.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",81811.56637500001
G1L1W1,2031,total_under_20,mean,7431.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",15463.353675
G1L1W1,2031,youth_quota,mean,0.3273762414583559,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3273762414583559
G1L1W1,2032,old_quota,mean,0.3877672818131895,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3877672818131895
G1L1W1,2032,share_20_66,mean,0.5736404335603154,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5736404335603154
G1L1W1,2032,share_over_67,mean,0.22243646829986938,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.22243646829986938
G1L1W1,2032,share_under_20,mean,0.18895557389141815,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18895557389141815
G1L1W1,2032,total_20_66,mean,22485.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",46790.29226666666
G1L1W1,2032,total_over_67,mean,8719.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18143.585075000003
G1L1W1,2032,total_pop,mean,39197.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",81567.40450833333
G1L1W1,2032,total_under_20,mean,7406.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15412.717833333336
G1L1W1,2032,youth_quota,mean,0.32940185823187856,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.32940185823187856
G1L1W1,2033,old_quota,mean,0.39567608627625717,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.39567608627625717
G1L1W1,2033,share_20_66,mean,0.570700414834409,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.570700414834409
G1L1W1,2033,share_over_67,mean,0.2258091478711393,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2258091478711393
G1L1W1,2033,share_under_20,mean,0.1890591273081316,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1890591273081316
G1L1W1,2033,total_20_66,mean,22291.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",46386.59281666666
G1L1W1,2033,total_over_67,mean,8820.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18353.7585
G1L1W1,2033,total_pop,mean,39059.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",81280.23685833333
G1L1W1,2033,total_under_20,mean,7384.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",15366.937483333335
G1L1W1,2033,youth_quota,mean,0.3312840533492532,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3312840533492532
G1L1W1,2034,old_quota,mean,0.40309240330894597,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.40309240330894597
